Identifier,PNL (*100%),Koef,USDProfit,Winrate,Single buy,Traded,Number of tokens traded,Buys,Sell,PnL < -0.5x %,PnL -0.5x to 0x %,PnL < 2x %,PnL 2x to 5x %,PnL > 5x %,Fast tx %,No buy hold ratio,SOL balance
FDXqTBNF53ysMRmKcJwq3bcFm1QqpmD8s5WDELhDpy1f,40.27,306.6957923,"13,815.48",82.22%,2.334,193,120,147,46,5.83%,0.83%,90.00%,3.33%,0.00%,0.00%,0.00%,2.281819417
Hb6CoAEjT8txm7T6ZxAjJa5SiBsYSQguiLm6RBW22trV,26.13,220.831768,"1,792.90",85.71%,1.1435,71,42,60,11,0.00%,2.38%,97.62%,0.00%,0.00%,0.00%,0.00%,0.439984094
EBegN6MzzDU7JGsxXFZ7CXQthhjsWhRytp9cCQZDjx5B,23.89,200.0823183,"2,746.57",88.89%,1.7159,80,54,67,13,0.00%,1.85%,98.15%,0.00%,0.00%,0.00%,0.00%,1.100196012
FDXqTBNF53ysMRmKcJwq3bcFm1QqpmD8s5WDELhDpy1f,23.86,182.1328205,"12,644.48",82.22%,3.7325,186,120,142,44,5.83%,0.83%,90.00%,3.33%,0.00%,0.00%,0.00%,0.459565604
3u6kamAKStfjWpn7uZeZ86g63GcSveRNqNq6UXBcpakQ,11.78,71.0167431,"18,120.76",90.70%,19.478,131,82,79,52,3.66%,1.22%,90.24%,4.88%,0.00%,0.00%,0.00%,0.600065457
BkYsUaK7nu1Z3CcLtjLyhSVcsC6xCw8zkTSQ5oVqyVAa,3.69,29.68965608,"4,535.57",92.86%,18.63,82,59,66,16,1.69%,0.00%,94.92%,3.39%,0.00%,0.00%,0.00%,0.157131665
E4HfkEkWCKUABeQLtwf5Tsfq5pNSg5t7nejDcKZ43Afp,4.62,26.79912978,"24,130.95",86.49%,51.7493,174,83,101,73,6.02%,0.00%,90.36%,3.61%,0.00%,0.00%,0.00%,0.600147441
E4HfkEkWCKUABeQLtwf5Tsfq5pNSg5t7nejDcKZ43Afp,4.53,26.64018541,"24,202.52",86.49%,49.9174,182,83,107,75,6.02%,0.00%,90.36%,3.61%,0.00%,0.00%,0.00%,0.091825841
E4HfkEkWCKUABeQLtwf5Tsfq5pNSg5t7nejDcKZ43Afp,4.53,26.32724246,"24,202.52",86.49%,51.3573,179,83,104,75,6.02%,0.00%,90.36%,3.61%,0.00%,0.00%,0.00%,0.683178665
DVHxLSfme9SWvavtwPrx4uxZa49DdR6eSsqu7vXreqAa,3.3,24.97573267,"1,209.30",73.33%,6.917,70,45,53,17,6.67%,2.22%,86.67%,4.44%,0.00%,0.00%,0.00%,0.500106995
EA3MYYWdcNUrj8oXxuHZcrvSW6j4d3ZvEh5DW1nnksWS,2.81,23.14560146,"3,169.62",91.67%,16.1109,85,53,70,15,0.00%,1.89%,96.23%,1.89%,0.00%,0.00%,0.00%,1.600073355
EA3MYYWdcNUrj8oXxuHZcrvSW6j4d3ZvEh5DW1nnksWS,2.5,20.72865917,"3,069.14",91.67%,16.8253,88,53,73,15,0.00%,1.89%,96.23%,1.89%,0.00%,0.00%,0.00%,0.288124147
5mYQt2faumYyYi2BXem6N4Z8AczGAhobdZwm42pLH7Px,3.54,19.89543861,"3,605.03",87.50%,4.3349,418,65,235,183,1.54%,1.54%,96.92%,0.00%,0.00%,1.54%,0.00%,1.100122382
8kxBdUMkw5v7rDj2MgFLpkCspP2F9xCJLEk8CRfZ12Fw,3.55,19.59015488,"2,637.86",80.00%,2.8229,477,48,263,214,0.00%,4.17%,95.83%,0.00%,0.00%,2.08%,0.00%,1.100183872
5ULiG4L3t9ZX4NHjvsEro17zg9o3SPDjkdskPCSaFnL7,2.62,19.13047479,"6,444.77",88.00%,33.6885,100,63,73,27,0.00%,4.76%,95.24%,0.00%,0.00%,0.00%,0.00%,0.241376507
EA3MYYWdcNUrj8oXxuHZcrvSW6j4d3ZvEh5DW1nnksWS,2.34,19.11132431,"3,010.36",91.67%,19.2094,82,53,67,15,0.00%,1.89%,96.23%,1.89%,0.00%,0.00%,0.00%,0.15003031
5ULiG4L3t9ZX4NHjvsEro17zg9o3SPDjkdskPCSaFnL7,2.62,18.98605823,"6,444.77",88.00%,34.6375,98,63,71,27,0.00%,4.76%,95.24%,0.00%,0.00%,0.00%,0.00%,1.600066226
ALv6t6jCTi2mWTHcqNA5J21GY6m5udvJsdAVAvFVAjHW,2.23,18.06638706,"4,330.41",100.00%,26.6327,90,54,73,17,0.00%,0.00%,98.15%,0.00%,1.85%,0.00%,0.00%,0.077153782
JAQAWq5TvfcUUEqkxLQCc3kqzmF7cjuZT747oMQC1Mi,3.17,17.82710794,"3,100.43",86.67%,4.054,429,65,241,188,1.54%,1.54%,96.92%,0.00%,0.00%,1.54%,0.00%,1.100139324
Gi4PuGn8PEwexVsipA8PSe97KfGvkhjo1zW5GAjcZPvC,3.63,17.45010092,"23,185.03",78.57%,104.6179,127,51,61,66,9.80%,1.96%,72.55%,15.69%,0.00%,0.00%,0.00%,0.72641121
5mYQt2faumYyYi2BXem6N4Z8AczGAhobdZwm42pLH7Px,3.06,17.26134748,"3,484.60",87.50%,4.8065,420,65,237,183,1.54%,1.54%,96.92%,0.00%,0.00%,1.54%,0.00%,0.38934324
8kxBdUMkw5v7rDj2MgFLpkCspP2F9xCJLEk8CRfZ12Fw,2.98,16.53642976,"2,531.82",80.00%,3.1897,480,48,266,214,0.00%,4.17%,95.83%,0.00%,0.00%,2.08%,0.00%,0.389249338
3usMqWyoTqsM7ZfLRbydM3q1kYTPLvq6rwnEbwDGdfQg,2.07,14.82326452,"7,304.88",66.67%,60.8393,81,5,58,23,20.00%,40.00%,20.00%,20.00%,0.00%,0.00%,0.00%,20.03655894
7wF7bKq8sWfDRHzZ8g1FVMTqoDYSHpS2pe9CF6KezwSD,1.92,14.62312366,"3,694.40",82.35%,28.7092,88,48,67,21,2.08%,4.17%,91.67%,2.08%,0.00%,0.00%,0.00%,1.100139609
4DBGnab54pySeeTMYLfZLMVikMcq6ALavV52DodmSWN1,2.38,13.4488329,"12,809.33",58.33%,94.3019,101,28,57,44,14.29%,3.57%,75.00%,7.14%,0.00%,0.00%,0.00%,0.16887241
GBPV4PQ48pCiCpu6jBsSckCFU43wME6CyHooBYfsThGM,2.4,13.31156161,"10,770.77",53.85%,87.9488,92,30,51,41,13.33%,6.67%,73.33%,6.67%,0.00%,0.00%,0.00%,0.074231471
3CCReK5XDbFXXgMFUdiS9v5aJ8AYVL2USKRN3H2TGZ4F,1.87,12.0192219,"4,200.91",58.33%,47.8789,73,27,47,26,18.52%,0.00%,81.48%,0.00%,0.00%,0.00%,0.00%,1.053953986
4DBGnab54pySeeTMYLfZLMVikMcq6ALavV52DodmSWN1,2.01,11.68643498,"9,402.58",58.33%,93.5549,86,28,50,36,14.29%,3.57%,75.00%,7.14%,0.00%,0.00%,0.00%,4.000117388
5WecL8uVsk5yyiYfAmxgmzc5f4Zyg6A2G33p6QwmM2Ty,1.19,8.986830202,"2,870.05",100.00%,35.0947,91,50,69,22,0.00%,0.00%,98.00%,2.00%,0.00%,0.00%,0.00%,1.600093179
4DBGnab54pySeeTMYLfZLMVikMcq6ALavV52DodmSWN1,1.32,8.461120616,"5,170.14",58.33%,84.8676,72,28,46,26,14.29%,3.57%,75.00%,7.14%,0.00%,0.00%,0.00%,7.178115793
2rhG9tYMSiiSZ7evVLMEMHeCPZNRWje9K6q5UXCi9Hk7,3.14,7.964028342,"11,648.12",81.82%,205.9988,71,11,18,53,0.00%,18.18%,54.55%,18.18%,9.09%,0.00%,0.00%,79.11823181
3N8mFvHeB5G9q3opXp3kCMEtKdpTT1azcBkxxtVUsJrM,1.55,7.549982491,"79,212.71",41.98%,247.4475,424,134,207,217,12.69%,44.03%,35.82%,5.22%,2.24%,5.97%,8.22%,57.17095899
3N8mFvHeB5G9q3opXp3kCMEtKdpTT1azcBkxxtVUsJrM,1.53,7.372829906,"81,251.32",41.98%,252.1824,437,134,210,227,12.69%,44.03%,35.82%,5.22%,2.24%,5.97%,8.22%,67.70908597
3RQTk284fEtubEHMM5RB24Er4quWEbHZsSu28shJsUwA,1,7.169718062,"4,365.63",41.18%,78.0639,78,29,56,22,27.59%,6.90%,58.62%,0.00%,6.90%,0.00%,0.00%,0.057613778
HvLKzQje3nynLAADoEdpMYYMHztraka1uYnVsdGJesXo,1.2,6.640961652,"1,861.69",81.82%,5.8403,480,44,265,215,0.00%,4.55%,95.45%,0.00%,0.00%,2.27%,0.00%,0.186730145
9vyhZRJgRDCsjeWs47q6pZpi482gvkXcpDdysJxj7tVD,2.05,6.623354023,"59,679.48",75.00%,709.4852,127,35,41,86,2.86%,11.43%,62.86%,14.29%,8.57%,0.00%,2.78%,4.000032899
2RWT2a341DJwmrnjWBh6md4pHMuh3oJ2NoopbrE5CwvK,1.21,6.549682811,"27,019.86",42.86%,448.4097,92,27,50,42,37.04%,7.41%,37.04%,7.41%,11.11%,0.00%,0.00%,4.000021531
3N8mFvHeB5G9q3opXp3kCMEtKdpTT1azcBkxxtVUsJrM,1.36,6.50692212,"81,032.09",41.98%,272.4992,457,134,219,238,12.69%,44.03%,35.82%,5.22%,2.24%,5.97%,8.22%,75.38454079
Au6F8GZNGBoWqmMAPnjnyXV7sG3fLEeYafgkW7LAaBxE,1.57,6.290330041,"3,046.12",40.48%,60.5318,80,42,32,48,11.90%,47.62%,35.71%,0.00%,4.76%,0.00%,4.55%,19.34472382
5TwL5fHt6KqzzeiCDYEJK6s9vUauKBynVhYVvdGw7jgi,1.29,6.204936603,"26,649.50",54.55%,557.7775,77,24,37,40,4.17%,16.67%,70.83%,0.00%,8.33%,0.00%,0.00%,0.446839112
2RWT2a341DJwmrnjWBh6md4pHMuh3oJ2NoopbrE5CwvK,1.1,5.986735499,"26,054.07",42.86%,448.6563,97,27,53,44,37.04%,7.41%,37.04%,7.41%,11.11%,0.00%,0.00%,0.737757956
D44UXemDc7d3yRXnmFAjvzykFrbSmxqvSvbTDG1fDkeh,0.87,5.986423753,"7,476.72",80.00%,131.468,95,58,65,30,6.90%,1.72%,86.21%,5.17%,0.00%,0.00%,0.00%,0.089669496
Au6F8GZNGBoWqmMAPnjnyXV7sG3fLEeYafgkW7LAaBxE,1.44,5.865296846,"3,011.28",40.48%,59.6984,86,42,35,51,11.90%,47.62%,35.71%,0.00%,4.76%,0.00%,4.55%,19.15634443
6XBPbKT2LtwFj3qpRG3CCVyJfSnQE7SE9Ub6VQLRWUB1,1.41,5.854910471,"32,159.30",69.23%,713.3384,77,28,32,45,0.00%,14.29%,64.29%,14.29%,7.14%,0.00%,0.00%,0.410589538
qWYnJytAarEWuB55BjhAv2spSwSnFbWii6SZv8VYpCN,1.19,5.801783985,"5,303.93",42.86%,130.5985,70,14,34,36,28.57%,28.57%,28.57%,0.00%,14.29%,7.14%,0.00%,0.183174303
7DjiDhZrmszYCinu9pM12pV95RnqqpSiW1CXjyniHEHw,0.96,5.690684192,"6,882.28",50.00%,170.3372,71,20,42,29,30.00%,25.00%,40.00%,0.00%,5.00%,0.00%,0.00%,0.03271381
5MEaemg9b7LCMdkgcS4Rn28VoMtjvdwjo3MBwBtx4Nu9,0.94,5.370076724,"3,418.76",86.96%,84.8842,75,41,43,32,7.32%,0.00%,87.80%,4.88%,0.00%,0.00%,0.00%,0.700150783
ZU2bhTHP2mt86uYqxsNV3gXmqRc5EzEGVWL7htQodNi,0.78,5.339192351,"4,316.37",64.71%,88.8386,91,32,62,29,6.25%,12.50%,68.75%,9.38%,3.12%,6.25%,3.03%,1.100190318
9pr32QjYt2qS9Be6WrRonbZz6ZoHGyo11cJvFuFTR5F6,0.77,5.203659677,"3,751.47",73.91%,89.0036,81,42,55,26,9.52%,4.76%,73.81%,11.90%,0.00%,0.00%,0.00%,1.100127254
35aprGooE1TmYQr3h9ycckF64nHMJYYTo1eaAbxssLch,0.7,5.137858337,"2,303.25",52.94%,54.6695,82,20,60,22,20.00%,35.00%,40.00%,5.00%,0.00%,0.00%,0.00%,0.137556876
D7xK1ZLz8KQNWN8aU1jbzNAuT5xwqgFrCUUYodVU4G42,0.67,4.951305324,"48,788.40",43.41%,82.1137,1200,134,884,316,10.45%,44.03%,41.79%,3.73%,0.00%,1.49%,6.29%,29.33484028
FryHALDQjsHe9nuwgKP1AMHY4r9sKyH6Crjezy8JHr3H,0.58,4.857574263,"1,379.59",56.25%,19.8607,143,44,120,23,2.27%,13.64%,84.09%,0.00%,0.00%,0.00%,0.00%,0.500084246
